Order Number,Delivery Distance (miles),Order Size,Order Type,Total Dollars,Store Location,Delivered On Time,Test Phase,Predicted Delivered On Time
35,7.732010671637382,9,In-person,59.28,Store C,No,Pre-Test,No
36,2.9961507242179244,6,Online,24.37,Store C,No,Pre-Test,No
37,3.7342536538957622,2,In-person,62.4,Store B,No,Pre-Test,No
38,2.30517484669688,1,In-person,24.36,Store C,No,Pre-Test,No
39,7.3330773859926905,8,In-person,34.47,Store B,No,Pre-Test,No
40,4.857878511390504,3,Phone,72.65,Store A,Yes,Pre-Test,Yes
41,4.7120459209698655,7,Phone,78.24,Store B,No,Pre-Test,Yes
42,6.243347235455119,4,Phone,48.98,Store C,No,Pre-Test,No
43,1.9940027488497045,3,In-person,25.05,Store A,No,Pre-Test,No
44,9.032461951444715,9,Phone,29.04,Store B,Yes,Pre-Test,Yes
45,4.918535084241344,6,In-person,58.56,Store C,No,Pre-Test,Yes
46,3.9820051574792834,6,Phone,63.0,Store C,No,Pre-Test,No
47,1.7035607845993284,6,Online,88.18,Store C,No,Pre-Test,No
48,2.0955649414904354,3,In-person,34.13,Store A,Yes,Pre-Test,Yes
49,9.24342298218167,6,Phone,65.08,Store C,Yes,Pre-Test,No
50,4.8378618172973615,4,Phone,10.24,Store A,Yes,Pre-Test,Yes
51,7.360747233912977,2,In-person,52.41,Store C,No,Pre-Test,No
52,1.2649053502560652,3,In-person,45.83,Store C,Yes,Pre-Test,Yes
53,6.612913169201596,4,In-person,20.81,Store A,Yes,Pre-Test,No
54,9.254432327205501,1,In-person,90.21,Store A,No,Pre-Test,Yes
55,3.349652783374166,7,In-person,19.73,Store A,Yes,Pre-Test,Yes
56,6.001834756777673,5,In-person,33.89,Store B,No,Pre-Test,Yes
57,9.43208149100058,9,In-person,76.06,Store C,Yes,Pre-Test,Yes
58,7.333564261144842,6,Online,26.27,Store A,No,Pre-Test,No
59,1.0920922726487343,8,Phone,16.91,Store B,No,Pre-Test,No
60,4.098002898974169,9,Online,97.24,Store B,No,Pre-Test,No
61,1.31484118282924,6,In-person,36.42,Store A,No,Pre-Test,Yes
62,8.682517163892154,7,Online,15.46,Store C,Yes,Pre-Test,Yes
63,6.405795661434347,6,In-person,22.69,Store A,Yes,Pre-Test,Yes
64,9.585626575921914,6,Phone,30.02,Store A,No,Pre-Test,No
65,0.6876851272651681,2,Phone,96.26,Store C,No,Pre-Test,No
66,4.51933001361209,5,Phone,11.45,Store B,No,Pre-Test,No
67,1.49145894567175,6,Online,81.35,Store B,Yes,Pre-Test,No
68,3.829634314889171,5,Phone,80.28,Store C,No,Pre-Test,Yes
69,2.0379248218875765,4,In-person,54.97,Store C,Yes,Pre-Test,Yes
70,3.623540719937492,6,Phone,93.96,Store C,Yes,Pre-Test,No
71,8.282989044859276,6,Online,11.21,Store B,No,Pre-Test,No
72,2.026643601585684,8,Phone,54.57,Store C,Yes,Pre-Test,No
73,4.999815191045788,8,Phone,32.81,Store A,No,Pre-Test,No
74,9.255039773575001,1,Online,78.57,Store A,Yes,Pre-Test,Yes
75,9.98840323461591,2,Online,25.59,Store C,Yes,Pre-Test,No
76,2.881090622663291,1,Online,88.76,Store A,Yes,Pre-Test,No
77,9.387897622277952,7,In-person,46.49,Store C,No,Pre-Test,No
78,2.9831924676097423,8,Phone,22.23,Store B,No,Pre-Test,Yes
79,4.428520740344137,3,In-person,13.13,Store B,Yes,Pre-Test,Yes
80,8.84027431621661,3,In-person,72.05,Store A,No,Pre-Test,No
81,7.968672996780358,7,Online,93.56,Store B,Yes,Pre-Test,Yes
82,8.646131793625486,8,In-person,97.29,Store C,No,Pre-Test,No
83,8.102438453392281,6,Phone,88.69,Store A,No,Pre-Test,Yes
84,2.7330795475953926,8,Online,45.06,Store C,Yes,Pre-Test,Yes
85,5.80855359659072,2,In-person,91.53,Store C,No,Pre-Test,No
86,4.1598818244382585,7,Phone,67.93,Store C,Yes,Pre-Test,Yes
87,4.867254200259502,5,Phone,15.7,Store B,No,Pre-Test,Yes
88,1.9625848701744921,6,Phone,25.38,Store C,No,Pre-Test,Yes
89,3.49979181263912,7,In-person,44.66,Store B,No,Pre-Test,No
90,8.647647653510775,9,Online,37.56,Store C,No,Pre-Test,Yes
91,9.026804893918557,7,Online,40.24,Store C,No,Pre-Test,Yes
92,6.296454297041817,1,Phone,76.15,Store B,Yes,Pre-Test,Yes
93,5.233538941507152,5,Online,15.3,Store A,Yes,Pre-Test,Yes
94,7.271977037418353,4,Online,64.52,Store A,No,Pre-Test,No
95,6.284105877110922,8,Online,40.3,Store B,No,Pre-Test,No
96,9.844912560304229,7,Online,89.42,Store A,No,Pre-Test,No
97,2.305843525559931,4,In-person,15.15,Store B,Yes,Pre-Test,Yes
98,4.7659248993415755,3,Online,97.45,Store C,Yes,Pre-Test,No
99,9.223284771712759,6,Online,17.28,Store C,No,Pre-Test,Yes
100,9.19000206913098,8,In-person,49.1,Store B,Yes,Pre-Test,Yes
101,5.2057950423311485,3,Online,87.14,Store A,Yes,Pre-Test,No
102,1.7806855190131239,5,Online,38.97,Store A,No,Pre-Test,No
103,8.242100691182575,1,Online,86.51,Store A,No,Pre-Test,No
104,6.059069271781802,8,Phone,96.69,Store C,No,Pre-Test,No
105,7.845077150643939,7,In-person,21.05,Store A,Yes,Pre-Test,Yes
106,4.893974498400608,8,Online,52.95,Store C,Yes,Pre-Test,No
107,2.4368972583998527,2,In-person,30.77,Store C,Yes,Pre-Test,Yes
108,0.7278993710554479,7,In-person,79.03,Store C,No,Pre-Test,No
109,5.811813553977645,4,Online,19.72,Store C,Yes,Pre-Test,Yes
110,2.029938699375101,2,In-person,79.73,Store C,No,Pre-Test,No
111,2.277803481679304,9,Phone,70.79,Store B,No,Pre-Test,No
112,4.644903494093061,5,In-person,66.82,Store C,No,Pre-Test,No
113,4.699732197669529,7,Online,49.09,Store C,Yes,Pre-Test,No
114,3.1066773569542003,4,Online,55.14,Store C,Yes,Pre-Test,Yes
115,1.7532609800229504,4,Phone,19.04,Store B,No,Pre-Test,No
116,9.477051142312208,3,Online,34.29,Store A,Yes,Pre-Test,Yes
117,1.7505858508434693,1,Phone,92.21,Store B,Yes,Pre-Test,Yes
118,3.83233955371073,2,In-person,49.78,Store B,No,Pre-Test,Yes
119,3.396245929770739,9,In-person,46.26,Store C,No,Pre-Test,Yes
120,8.730210021106243,1,In-person,14.26,Store A,Yes,Pre-Test,Yes
121,4.39559326054642,5,Online,89.59,Store C,No,Pre-Test,No
122,1.6784132427264609,2,Online,77.81,Store B,Yes,Pre-Test,Yes
123,0.5974797698427061,4,Phone,18.25,Store A,No,Pre-Test,Yes
124,7.358521233007986,7,In-person,23.52,Store B,Yes,Pre-Test,Yes
125,7.287760379394577,5,Phone,21.13,Store B,No,Pre-Test,Yes
126,4.468944877475663,1,Phone,68.79,Store B,No,Pre-Test,Yes
127,1.6999260029670742,3,Online,24.3,Store A,No,Pre-Test,Yes
128,4.030521219441105,9,In-person,99.56,Store C,Yes,Pre-Test,Yes
129,6.103883283711793,1,Phone,61.63,Store C,No,Pre-Test,Yes
130,7.18745794716499,4,In-person,88.31,Store A,Yes,Pre-Test,No
131,1.243278978125624,5,Online,75.71,Store A,No,Pre-Test,No
132,5.78492097083945,3,In-person,12.2,Store A,Yes,Pre-Test,Yes
133,3.1231787452573068,3,Phone,47.9,Store B,Yes,Pre-Test,Yes
134,6.364029727769605,1,Phone,42.55,Store C,No,Pre-Test,No
135,6.657331167215228,6,In-person,95.7,Store B,No,Pre-Test,No
136,9.150735166859826,4,In-person,40.45,Store A,Yes,Pre-Test,Yes
137,4.398594566195119,8,In-person,71.87,Store B,No,Pre-Test,Yes
138,5.6071112712855165,6,Phone,63.05,Store B,Yes,Pre-Test,Yes
139,3.0480436662248382,3,Phone,76.3,Store A,Yes,Pre-Test,No
140,3.2222917293787106,7,Phone,15.51,Store A,Yes,Pre-Test,Yes
141,0.9373209248329438,3,In-person,93.77,Store A,Yes,Pre-Test,No
142,3.21765495183581,9,Phone,99.37,Store C,Yes,Pre-Test,No
143,1.10637255111125,8,In-person,59.89,Store A,No,Pre-Test,Yes
144,9.657200010565381,3,Phone,24.79,Store C,No,Pre-Test,Yes
145,6.430500736072993,2,Phone,88.25,Store A,Yes,Pre-Test,Yes
146,2.1449113312697934,3,In-person,68.26,Store B,Yes,Pre-Test,No
147,1.6092804182931837,4,Online,66.15,Store A,Yes,Pre-Test,Yes
148,4.016164894536662,3,Phone,89.64,Store B,Yes,Pre-Test,Yes
149,3.422649583878993,9,Online,75.83,Store B,Yes,Pre-Test,No
150,3.1529204186873034,2,Phone,92.78,Store C,Yes,Pre-Test,Yes
151,4.947862426844702,8,Phone,96.18,Store B,No,Pre-Test,No
152,9.172301508276403,7,Phone,41.04,Store A,No,Pre-Test,Yes
153,5.896477416828782,1,In-person,27.81,Store B,Yes,Pre-Test,No
154,5.451699293572882,6,Phone,44.69,Store B,Yes,Pre-Test,No
155,8.162210134030051,6,Online,97.08,Store B,No,Pre-Test,Yes
156,0.538233810170447,9,Phone,27.23,Store A,Yes,Pre-Test,No
157,2.375163856974718,8,Phone,63.2,Store A,No,Pre-Test,Yes
158,5.213766376693942,7,Phone,17.58,Store B,Yes,Pre-Test,Yes
159,7.200436074959633,7,In-person,84.92,Store B,No,Pre-Test,No
160,5.107767851926564,5,In-person,70.14,Store C,No,Pre-Test,Yes
161,2.055301822358333,2,Online,56.99,Store B,Yes,Pre-Test,No
162,9.334836767784976,5,In-person,66.7,Store B,No,Pre-Test,Yes
163,3.62231874550173,1,Phone,20.53,Store C,No,Pre-Test,Yes
164,7.988048973247788,6,In-person,87.53,Store B,No,Pre-Test,Yes
165,8.968426678677321,2,In-person,40.61,Store A,Yes,Pre-Test,No
166,3.7912690880423314,1,Phone,25.22,Store B,No,Pre-Test,Yes
167,8.530461922635995,1,Phone,11.33,Store B,Yes,Pre-Test,No
168,7.252349990084576,1,In-person,15.46,Store A,Yes,Pre-Test,Yes
169,9.090667948289058,4,Phone,70.45,Store A,No,Pre-Test,No
170,2.8874516663682877,5,In-person,74.66,Store C,No,Pre-Test,No
171,9.34713725831362,5,In-person,23.4,Store C,No,Pre-Test,No
172,1.1204115283643377,1,Phone,64.51,Store C,No,Pre-Test,Yes
173,8.039877210403665,6,Online,53.47,Store B,No,Pre-Test,Yes
174,4.638817696665511,3,In-person,94.35,Store B,Yes,Pre-Test,Yes
175,2.1899546851031264,4,Online,69.87,Store C,No,Pre-Test,Yes
176,1.254328073475456,5,Online,56.83,Store A,Yes,Pre-Test,No
177,4.200701382039911,4,In-person,35.54,Store C,No,Pre-Test,No
178,4.198577256401949,4,In-person,51.56,Store A,No,Pre-Test,No
179,2.6845951509163615,1,Phone,32.24,Store C,Yes,Pre-Test,No
180,2.547396284352007,2,Phone,71.05,Store C,Yes,Pre-Test,Yes
181,4.295385831444753,2,Online,63.47,Store B,Yes,Pre-Test,Yes
182,4.396081890448994,2,Online,36.67,Store A,No,Pre-Test,No
183,4.702465592050326,1,In-person,11.09,Store C,No,Pre-Test,No
184,8.753214173913795,8,In-person,98.45,Store C,Yes,Pre-Test,No
185,6.306917811016196,1,Phone,14.77,Store A,No,Pre-Test,No
186,0.6941150776794875,8,In-person,59.23,Store B,No,Pre-Test,No
187,5.431442796740745,1,In-person,86.68,Store A,Yes,Pre-Test,No
188,7.743287311864668,3,Online,65.9,Store C,No,Pre-Test,Yes
189,1.0359359131229133,9,In-person,62.82,Store A,Yes,Pre-Test,Yes
190,4.514774853104012,8,Online,74.36,Store A,No,Pre-Test,Yes
191,4.786496360946887,2,Online,37.73,Store A,Yes,Pre-Test,No
192,9.563194297189868,4,Phone,45.07,Store C,Yes,Pre-Test,No
193,5.018997560938123,8,Phone,17.61,Store A,No,Pre-Test,Yes
194,7.624052495290921,9,Online,10.42,Store B,No,Pre-Test,Yes
195,3.377569429486002,7,In-person,33.81,Store C,No,Pre-Test,Yes
196,7.9034131862900985,1,In-person,83.28,Store C,No,Pre-Test,Yes
197,3.5652924817247356,8,In-person,65.04,Store B,No,Pre-Test,No
198,4.585224079777593,1,Online,22.55,Store B,No,Pre-Test,Yes
199,5.05508163921113,9,Phone,48.38,Store C,No,Pre-Test,Yes
200,9.300448209471108,8,In-person,11.76,Store C,Yes,Pre-Test,Yes
201,1.0078087041462418,4,Online,82.2,Store B,No,Pre-Test,No
202,2.3702379346026685,4,Phone,51.5,Store C,No,Pre-Test,Yes
203,7.204556088876287,4,In-person,34.92,Store B,No,Pre-Test,Yes
204,5.986987768878703,6,Online,79.13,Store C,No,Pre-Test,Yes
205,2.8895482089422706,2,Online,97.33,Store C,Yes,Pre-Test,No
206,3.247408431164546,4,Phone,46.29,Store C,Yes,Pre-Test,Yes
207,3.9894401132824595,4,Phone,78.89,Store A,No,Pre-Test,Yes
208,4.7782960186381205,8,In-person,38.91,Store C,No,Pre-Test,Yes
209,8.271259570901393,2,Phone,78.22,Store A,Yes,Pre-Test,Yes
210,0.6312470264836445,8,Online,96.86,Store B,Yes,Pre-Test,Yes
211,9.031187541528045,2,In-person,68.53,Store C,No,Pre-Test,No
212,4.423757560499517,9,Online,31.51,Store C,Yes,Pre-Test,Yes
213,2.6897264168809247,9,Online,72.11,Store A,No,Pre-Test,No
214,5.32992064550978,6,Online,86.01,Store B,Yes,Pre-Test,No
215,6.766865405645994,5,Online,46.33,Store B,No,Pre-Test,No
216,0.9251460823392332,7,In-person,65.98,Store A,Yes,Pre-Test,No
217,7.299884840827785,8,Online,32.73,Store B,Yes,Pre-Test,Yes
218,7.727231282046693,8,Phone,50.91,Store A,Yes,Pre-Test,Yes
219,2.0787317010724835,3,Online,24.93,Store C,Yes,Pre-Test,Yes
220,2.0948735695805776,3,Online,85.2,Store A,Yes,Pre-Test,Yes
221,2.43595326813833,5,In-person,18.7,Store A,Yes,Pre-Test,No
222,8.067972764639386,5,In-person,15.03,Store B,Yes,Pre-Test,Yes
223,3.084029031346297,2,In-person,58.1,Store C,Yes,Pre-Test,Yes
224,8.061390461516368,5,Phone,62.42,Store C,No,Pre-Test,Yes
225,5.634976659919066,1,Online,92.64,Store A,Yes,Pre-Test,No
226,7.788127636632183,7,Online,28.3,Store B,Yes,Pre-Test,Yes
227,5.759893895956303,7,Phone,80.02,Store A,Yes,Pre-Test,No
228,3.6898045425120123,1,Phone,67.97,Store C,No,Pre-Test,No
229,9.151784355251552,3,In-person,76.75,Store C,No,Pre-Test,Yes
230,7.29530878764591,8,Phone,24.17,Store B,No,Pre-Test,Yes
231,5.09852062389888,9,Phone,50.18,Store C,No,Pre-Test,No
232,6.555570525565059,3,In-person,42.05,Store C,No,Pre-Test,Yes
233,6.350511880755433,6,Phone,72.96,Store A,Yes,Pre-Test,Yes
234,3.9021040567905656,6,In-person,63.42,Store A,Yes,Pre-Test,Yes
235,4.525831594405457,6,Online,97.08,Store C,No,Pre-Test,Yes
236,3.5234393875146464,5,In-person,22.49,Store B,No,Pre-Test,Yes
237,9.995422248446804,6,Phone,52.62,Store B,Yes,Pre-Test,No
238,6.010612312851698,6,Phone,72.45,Store C,Yes,Pre-Test,No
239,1.3745255504258918,6,In-person,43.19,Store B,No,Pre-Test,Yes
240,5.431518245165538,8,Phone,93.09,Store C,No,Pre-Test,No
241,0.9746386643824789,6,Online,86.73,Store C,Yes,Pre-Test,No
242,3.242194458973176,3,In-person,88.56,Store A,Yes,Pre-Test,Yes
243,4.73663060177374,7,In-person,64.81,Store A,Yes,Pre-Test,No
244,5.575569622718163,6,Phone,52.45,Store B,Yes,Pre-Test,Yes
245,9.773723297418421,9,Phone,43.11,Store B,No,Pre-Test,Yes
246,9.831106376139445,4,Phone,20.77,Store C,Yes,Pre-Test,Yes
247,1.431659014110367,1,In-person,95.34,Store A,Yes,Pre-Test,No
248,5.612260391247448,6,In-person,33.73,Store A,No,Pre-Test,No
249,8.262539254325084,9,Phone,82.19,Store A,Yes,Pre-Test,Yes
250,2.75827179240117,8,In-person,11.07,Store C,No,Pre-Test,Yes
251,7.63034943659048,2,Online,44.33,Store A,No,Pre-Test,Yes
252,8.846881029197304,3,Phone,61.4,Store A,No,Pre-Test,No
253,6.7936302623368565,8,In-person,38.29,Store B,Yes,Pre-Test,Yes
254,3.6131818140286294,9,Online,27.45,Store A,No,Pre-Test,No
255,9.26975703373544,8,Phone,16.43,Store B,No,Pre-Test,No
256,8.893440889904603,1,In-person,99.02,Store B,Yes,Pre-Test,Yes
257,7.300340528543357,3,Phone,89.78,Store B,Yes,Pre-Test,Yes
258,3.9548470776531444,8,Phone,38.11,Store C,Yes,Pre-Test,Yes
259,8.023015442750594,1,Phone,11.42,Store B,No,Pre-Test,Yes
260,3.503035324270341,7,In-person,58.65,Store A,Yes,Pre-Test,Yes
261,2.9030520876689216,4,Online,38.93,Store A,No,Pre-Test,No
262,5.39262717565717,7,Online,20.42,Store B,No,Pre-Test,Yes
263,9.972784637511882,4,Phone,81.13,Store C,No,Pre-Test,Yes
264,8.14105844362415,8,In-person,40.44,Store A,No,Pre-Test,No
265,7.433030955124075,6,In-person,97.56,Store A,No,Pre-Test,No
266,4.794121093592784,8,In-person,73.56,Store B,No,Pre-Test,No
267,3.4635250872652525,1,Online,85.57,Store B,Yes,Pre-Test,Yes
268,8.631057249929901,9,In-person,65.96,Store C,No,Pre-Test,No
269,5.8934614098196825,9,Phone,60.55,Store B,No,Pre-Test,Yes
270,8.22592203565804,6,In-person,48.52,Store B,Yes,Pre-Test,No
271,5.133660240924297,9,Online,17.48,Store A,Yes,Pre-Test,No
272,7.662596193114953,6,Online,76.37,Store B,No,Pre-Test,Yes
273,8.7435400573811,6,Online,40.59,Store A,Yes,Pre-Test,No
274,4.218205251464996,4,Online,27.7,Store B,No,Pre-Test,No
275,0.6289109140881513,3,In-person,20.3,Store C,Yes,Pre-Test,Yes
276,2.9218023771986354,3,In-person,17.05,Store A,No,Pre-Test,No
277,9.191692890301885,2,Online,52.79,Store C,No,Pre-Test,Yes
278,7.031651475246764,4,In-person,85.33,Store A,No,Pre-Test,Yes
279,7.5035778061509335,9,Phone,21.58,Store A,No,Pre-Test,No
280,3.5902418355215038,7,Online,56.33,Store C,Yes,Pre-Test,No
281,7.162093354412454,3,Online,44.12,Store B,No,Pre-Test,No
282,6.639680381389539,8,In-person,58.59,Store B,Yes,Pre-Test,No
283,2.1945498030317756,9,Phone,15.22,Store A,No,Pre-Test,Yes
284,9.702562385591124,1,Online,58.16,Store C,Yes,Pre-Test,No
285,3.8632431368035296,1,Phone,59.5,Store B,Yes,Pre-Test,Yes
286,3.628226251480401,9,Online,88.31,Store B,No,Pre-Test,No
287,4.007034670186881,9,In-person,27.96,Store B,No,Pre-Test,No
288,1.3713363455473087,7,Online,83.33,Store C,No,Pre-Test,Yes
289,6.437153412385551,3,In-person,77.63,Store B,Yes,Pre-Test,Yes
290,2.7669303155907694,4,Phone,92.3,Store B,Yes,Pre-Test,Yes
291,8.131471185649719,7,In-person,92.16,Store A,No,Pre-Test,No
292,4.244483711272485,9,In-person,78.95,Store A,No,Pre-Test,No
293,4.856305581761194,8,Online,93.27,Store C,Yes,Pre-Test,Yes
294,6.64100951409781,8,Online,33.31,Store A,No,Pre-Test,No
295,7.737775772560522,1,Phone,24.01,Store B,Yes,Pre-Test,No
296,2.6955953960570613,6,Phone,35.23,Store A,Yes,Pre-Test,Yes
297,9.679796132322387,6,Phone,85.59,Store A,No,Pre-Test,No
298,6.412054686683471,5,In-person,38.22,Store B,Yes,Pre-Test,No
299,0.553566923253682,1,In-person,83.68,Store B,No,Pre-Test,Yes
300,4.448410994273736,3,Online,43.48,Store C,Yes,Pre-Test,Yes
301,4.649769295992165,4,Phone,81.96,Store C,Yes,Pre-Test,No
302,8.18706727175677,7,Online,86.25,Store B,No,Pre-Test,Yes
303,3.3988278541447867,5,Online,71.01,Store A,Yes,Pre-Test,No
304,3.646651904802153,2,In-person,98.16,Store C,Yes,Pre-Test,Yes
305,1.1696938820993952,3,Online,75.73,Store A,No,Pre-Test,No
306,3.1936872329952406,1,In-person,32.06,Store A,Yes,Pre-Test,No
307,7.311136164115576,6,Online,98.6,Store B,Yes,Pre-Test,Yes
308,6.5301907358182865,8,Phone,71.54,Store C,No,Pre-Test,Yes
309,1.2732438360749936,4,Phone,49.22,Store C,Yes,Pre-Test,No
310,1.5895919750904384,2,Online,54.27,Store B,Yes,Pre-Test,Yes
311,4.080796657288526,4,Online,78.95,Store C,No,Pre-Test,Yes
312,7.5656987403395926,4,Phone,77.79,Store B,Yes,Pre-Test,Yes
313,8.412723642221984,5,Phone,85.7,Store B,No,Pre-Test,Yes
314,0.6389284085951654,3,In-person,31.66,Store B,Yes,Pre-Test,Yes
315,3.6256004844203065,9,Phone,95.33,Store A,Yes,Pre-Test,No
316,4.530487704471462,7,In-person,33.54,Store B,No,Pre-Test,No
317,9.155761702509338,9,Phone,53.24,Store B,Yes,Pre-Test,Yes
318,5.2633622982397075,7,Online,29.02,Store B,No,Pre-Test,Yes
319,3.0621572698339956,4,Online,49.09,Store B,No,Pre-Test,No
320,4.205447119056526,5,Phone,68.49,Store B,No,Pre-Test,No
321,4.646127194200099,7,Online,54.27,Store B,No,Pre-Test,Yes
322,6.864960798528146,6,In-person,32.37,Store C,Yes,Pre-Test,Yes
323,0.8903339381905395,9,In-person,44.83,Store C,No,Pre-Test,No
324,4.199790798731328,3,In-person,63.5,Store A,Yes,Pre-Test,Yes
325,6.642269050687288,8,Phone,90.8,Store B,Yes,Pre-Test,No
326,3.191561995961776,4,In-person,48.13,Store C,No,Pre-Test,Yes
327,6.121634563309464,9,Online,61.74,Store B,Yes,Pre-Test,Yes
328,3.894149835988419,1,In-person,91.98,Store B,Yes,Pre-Test,Yes
329,7.707848241314367,5,Phone,85.7,Store C,No,Pre-Test,No
330,1.075678116393688,4,In-person,26.68,Store C,No,Pre-Test,No
331,9.220638816662886,5,Online,42.56,Store C,Yes,Pre-Test,Yes
332,2.1303192055152684,6,Online,80.99,Store A,Yes,Pre-Test,Yes
333,2.006197324118817,1,Phone,75.79,Store C,Yes,Pre-Test,Yes
334,8.486107975345519,8,In-person,79.05,Store B,No,Pre-Test,No
335,8.758187768726943,3,Online,24.35,Store A,No,Pre-Test,No
336,1.3832464777351028,7,Phone,51.41,Store C,No,Pre-Test,No
337,9.132829816141648,7,Phone,72.57,Store A,No,Pre-Test,Yes
338,3.0963297339252747,9,Phone,46.53,Store C,Yes,Pre-Test,Yes
339,6.376906011376527,7,Phone,60.8,Store B,Yes,Pre-Test,No
340,1.1516381588750098,8,Phone,78.37,Store C,No,Pre-Test,No
341,4.116280460717909,4,Phone,55.33,Store C,No,Pre-Test,Yes
342,4.781883786493109,4,Online,64.92,Store A,Yes,Pre-Test,Yes
343,6.19835240888495,8,In-person,40.88,Store C,Yes,Pre-Test,No
344,5.490083728437424,4,Phone,42.86,Store C,No,Pre-Test,Yes
345,4.884183134170129,4,In-person,26.89,Store C,Yes,Pre-Test,Yes
346,9.616582011773085,3,Phone,99.26,Store A,No,Pre-Test,No
347,2.257716381383712,3,Online,64.63,Store C,Yes,Pre-Test,Yes
348,2.0009451911433476,4,Online,27.5,Store C,Yes,Pre-Test,Yes
349,7.277481078556381,2,In-person,24.8,Store A,Yes,Pre-Test,No
350,1.208242906267205,3,Phone,30.57,Store B,Yes,Pre-Test,Yes
351,5.087468831945629,2,In-person,74.6,Store A,Yes,Pre-Test,No
352,5.098504631945968,6,Phone,54.89,Store B,Yes,Pre-Test,Yes
353,3.445240644111368,3,Phone,58.2,Store B,Yes,Pre-Test,No
354,9.339215545961878,2,Phone,72.65,Store B,No,Pre-Test,No
355,3.1841626334121087,9,Phone,75.61,Store B,No,Pre-Test,Yes
356,3.240198546263342,8,Phone,77.2,Store B,No,Pre-Test,No
357,2.7258496601253506,5,Phone,17.18,Store C,Yes,Pre-Test,Yes
358,1.884986334595349,9,Online,84.92,Store A,No,Pre-Test,No
359,3.9581050258103017,5,Online,25.69,Store A,No,Pre-Test,Yes
360,6.968428970004086,5,Phone,67.13,Store C,Yes,Pre-Test,Yes
361,7.550547196322181,4,In-person,30.29,Store A,No,Pre-Test,No
362,8.227479706091469,3,In-person,84.35,Store A,Yes,Pre-Test,Yes
363,2.3766669410498062,9,Online,78.86,Store A,No,Pre-Test,Yes
364,0.8385105382774327,4,In-person,25.77,Store A,Yes,Pre-Test,No
365,9.759515655639722,7,Phone,59.52,Store A,No,Pre-Test,Yes
366,0.6361589332210711,5,Phone,74.95,Store A,Yes,Pre-Test,No
367,9.626448960601556,7,Phone,25.23,Store A,No,Pre-Test,No
368,8.373736977762098,8,Phone,23.17,Store B,Yes,Pre-Test,Yes
369,9.164710229738796,8,Phone,43.82,Store A,Yes,Pre-Test,Yes
370,4.1782642698058865,6,In-person,92.67,Store A,No,Pre-Test,No
371,2.3734189890848163,5,In-person,16.1,Store C,No,Pre-Test,Yes
372,6.261405009167866,2,Phone,42.3,Store B,No,Pre-Test,Yes
373,7.541886121806625,8,Phone,82.57,Store A,No,Pre-Test,No
374,1.743180130084275,5,In-person,40.98,Store C,No,Pre-Test,No
